ZIP Code,Year,Month,SalesCount,AvgSalesPrice
19115,2020,4,11,179000
19115,2020,3,11,0
19115,2020,2,16,254000
19115,2020,1,45,254000
19115,2019,12,42,247000
19115,2019,11,63,272000
19115,2019,10,38,268000
19115,2019,9,28,323000
19115,2019,8,24,315000
19115,2019,7,35,256000
19115,2019,6,32,257000
19115,2019,5,22,292000
19115,2019,4,15,247000
19115,2019,3,14,235000
19115,2019,2,19,236000
19115,2019,1,46,240000
19115,2018,12,24,262000
19115,2018,11,32,258000
19115,2018,10,41,246000
19115,2018,9,27,269000
19115,2018,8,43,248000
19115,2018,7,31,236000
19115,2018,6,48,200000
19115,2018,5,14,230000
19115,2018,4,12,206000
19115,2018,3,37,200000
19115,2018,2,13,226000
19115,2018,1,18,243000
19115,2017,12,44,239000
19115,2017,11,25,230000
19115,2017,10,26,217000
19115,2017,9,39,241000
19115,2017,8,39,243000
19115,2017,7,28,255000
19115,2017,6,101,231000
19115,2017,5,22,227000
19115,2017,4,15,221000
