dc_key,objectid,psa,dispatch_date_time,dispatch_date,dispatch_time,hour_,dc_dist,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng,zipcode
201908037574,40474026,3,2019-11-02 13:38:00,2019-11-02,13:38:00,13.0,8,11100 BLOCK DRAKE DR,500,Burglary Residential,-74.97571653,40.07829227,40.07829227,-74.97571653,19154
201918004429,32152487,3,2019-01-20 09:23:00,2019-01-20,09:23:00,9.0,18,4400 BLOCK SPRUCE ST,500,Burglary Residential,-75.21110115,39.95279227,39.95279227,-75.21110115,19151
201922064598,37597652,1,2019-07-26 17:37:00,2019-07-26,17:37:00,17.0,22,2400 BLOCK N GRATZ ST,500,Burglary Residential,-75.16280916,39.99127747,39.99127747,-75.16280916,19104
201935086355,39280923,1,2019-09-20 01:39:00,2019-09-20,01:39:00,1.0,35,200 BLOCK LINTON ST,500,Burglary Residential,-75.12412214,40.04134431,40.04134431,-75.12412214,19132
201924003879,32022326,1,2019-01-14 23:29:00,2019-01-14,23:29:00,23.0,24,4100 BLOCK O ST,500,Burglary Residential,-75.09631281,40.00899461,40.00899461,-75.09631281,19120
201917024302,36080645,1,2019-06-07 19:13:00,2019-06-07,19:13:00,19.0,17,1500 BLOCK RODMAN ST,500,Burglary Residential,-75.16757668,39.94420062,39.94420062,-75.16757668,19124
201907013403,35586059,2,2019-05-23 16:19:00,2019-05-23,16:19:00,16.0,7,9300 BLOCK NEIL RD,500,Burglary Residential,-75.04370246,40.08496195,40.08496195,-75.04370246,19146
201917037637,38197153,1,2019-08-15 08:30:00,2019-08-15,08:30:00,8.0,17,2500 BLOCK CHRISTIAN ST,500,Burglary Residential,-75.18612096,39.94253964,39.94253964,-75.18612096,19115
201922004522,32042771,2,2019-01-15 22:27:00,2019-01-15,22:27:00,22.0,22,2500 BLOCK N 31ST ST,500,Burglary Residential,-75.18223486,39.99570676,39.99570676,-75.18223486,19146
201926009912,33504131,1,2019-03-12 18:22:00,2019-03-12,18:22:00,18.0,26,2100 BLOCK N ORKNEY ST,500,Burglary Residential,-75.14153676,39.98399338,39.98399338,-75.14153676,19132
201935011382,32635455,3,2019-02-09 12:40:00,2019-02-09,12:40:00,12.0,35,1500 BLOCK W RUSCOMB ST,500,Burglary Residential,-75.14886195,40.02935281,40.02935281,-75.14886195,19133
201903087702,41226779,3,2019-11-30 20:30:00,2019-11-30,20:30:00,20.0,3,2300 BLOCK S MARSHALL ST,500,Burglary Residential,-75.15802117,39.91911203,39.91911203,-75.15802117,19141
201926037450,38714364,3,2019-09-01 00:56:00,2019-09-01,00:56:00,0.0,26,400 BLOCK MEMPHIS ST,500,Burglary Residential,-75.13147359999999,39.97432388,39.97432388,-75.13147359999999,19148
