OBJECTID,SCHOOL_NAME,STREET_ADDRESS,ZIP_CODE,GRADE_LEVEL,GRADE_ORG,TYPE,TYPE_SPECIFIC
388,IMHOTEP CHARTER SCHOOL,6201 N 21ST ST,19138,HIGH SCHOOL,9-12,2,CHARTER
389,INDEPENDENCE CHARTER SCHOOL,1600 LOMBARD ST,19146,ELEMENTARY/MIDDLE,K-8,2,CHARTER
390,INDEPENDENCE CHARTER WEST,5600 CHESTER AVE,19143,ELEMENTARY SCHOOL,K-6,2,CHARTER
391,INQUIRY CHARTER SCHOOL,1301 BELMONT AVE,19104,ELEMENTARY SCHOOL,K-5,2,CHARTER
392,KEYSTONE ACADEMY CHARTER,4521 LONGSHORE AVE,19135,ELEMENTARY/MIDDLE,K-8,2,CHARTER
393,KIPP DUBOIS CHARTER SCHOOL,5070 PARKSIDE AVE,19131,HIGH SCHOOL,9-12,2,CHARTER
394,KIPP PHILADELPHIA CHARTER,2539 N 16TH ST,19132,ELEMENTARY/MIDDLE,K-8,2,CHARTER
395,KIPP WEST PHILA CHARTER SCHOOL,5900 BALTIMORE AVE,19143,MIDDLE SCHOOL,5-8,2,CHARTER
396,KIPP WEST PHILA PREP CHARTER,5900 BALTIMORE AVE,19143,MIDDLE SCHOOL,5-8,2,CHARTER
397,LAB SCH OF COMMUNICAT'N & LANG,800 NORTH ORIANNA ST,19123,ELEMENTARY/MIDDLE,K-8,2,CHARTER
398,LIGUORI ACADEMY-FORTIS,1952 E ALLEGHENY AVE,19134,HIGH SCHOOL,9-12,1,CONTRACTED
399,LINDLEY ACADEMY CHARTER @ BIRNEY,900 LINDLEY AVE,19141,ELEMENTARY/MIDDLE,K-8,2,CHARTER
400,MARIANA BRACETTI ACADEMY,1840 TORRESDALE AVE,19124,ELEMENTARY/MIDDLE/HIGH,K-12,2,CHARTER
401,MARITIME ACADEMY CHARTER,2275 BRIDGE ST,19137,ELEMENTARY/MIDDLE/HIGH,1-12,2,CHARTER
402,MAST COMMUNITY CHARTER II,6501 NEW STATE RD,19135,ELEMENTARY SCHOOL,K-6,2,CHARTER
403,MASTERY CHARTER @ CLEVELAND,3701 N 19TH ST,19140,ELEMENTARY/MIDDLE,K-8,2,CHARTER
404,MASTERY CHARTER @ CLYMER,1201 W RUSH ST,19133,ELEMENTARY SCHOOL,K-6,2,CHARTER
405,MASTERY CHARTER @ GRATZ HIGH,1798 W HUNTING PARK AVE,19140,MIDDLE/HIGH,7-12,2,CHARTER
406,MASTERY CHARTER @ HARRITY,5601 CHRISTIAN ST,19143,ELEMENTARY/MIDDLE,K-8,2,CHARTER
407,MASTERY CHARTER @ MANN,5376 W BERKS ST,19131,ELEMENTARY SCHOOL,K-6,2,CHARTER
408,MASTERY CHARTER @ PASTORIUS,5650 SPRAGUE ST,19138,ELEMENTARY/MIDDLE,K-8,2,CHARTER
409,MASTERY CHARTER @ PICKETT,5700 WAYNE AVE,19144,MIDDLE/HIGH,6-12,2,CHARTER
410,"POWEL, SAMUEL SCHOOL",301 N 36TH ST,19104,ELEMENTARY SCHOOL,K-4,1,DISTRICT
411,PRINCE HALL SCHOOL,6101 N GRATZ ST,19141,ELEMENTARY SCHOOL,K-5,1,DISTRICT
412,RANDOLPH TECHNICAL HIGH SCHOOL,3101 HENRY AVE,19129,HIGH SCHOOL,9-12,1,DISTRICT
413,RHAWNHURST SCHOOL,7809 CASTOR AVE,19152,ELEMENTARY SCHOOL,K-5,1,DISTRICT
414,"RHOADS, JAMES SCHOOL",4901 PARRISH ST,19139,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
415,RHODES ELEMENTARY SCHOOL,2900 W CLEARFIELD ST,19132,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
