OBJECTID,SCHOOL_NAME,STREET_ADDRESS,ZIP_CODE,GRADE_LEVEL,GRADE_ORG,TYPE,TYPE_SPECIFIC
1,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),5339 LEBANON AVE,19131,ELEMENTARY/MIDDLE,5-8,2,CHARTER
2,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),5901 WOODBINE AVE,19131,ELEMENTARY SCHOOL,K-4,2,CHARTER
3,OUR MOTHER OF CONSOLATION,7-29 E CHESTNUT HILL AVE,19118,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
4,HOLY CROSS SCHOOL,148-54 E MOUNT AIRY AVE,19119,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
5,ST JEROME SCHOOL,2950 HOLME AVE,19136,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
6,RESURRECTION REGIONAL CATHOLIC SCHOOL,2020 SHELMIRE AVE.,19152,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
7,FATHER JUDGE HIGH SCHOOL,3301 SOLLY AVE,19136,HIGH SCHOOL,9-12,3,ARCHDIOCESE
8,ST HELENA INCARNATION REGIONAL CATHOLIC SCHOOL,6101 N 5TH ST,19120,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
9,ST ROSE OF LIMA SCHOOL,1508 N  WANAMAKER ST,19131,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
10,IMMACULATE HEART OF MARY SCHOOL,815-23 CATHEDRAL RD,19128,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
11,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,7105 LIMEKILN PIKE,19138,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
12,ST CECILIA SCHOOL,535 RHAWN ST,19111,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
13,ST MARTIN DE PORRES SCHOOL,2300-36 W LEHIGH AVE,19132,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
14,OUR LADY OF PORT RICHMOND SCHOOL,2639 E ALLEGHENY AVE,19134,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
15,ST ANSELM ELEMENTARY SCHOOL,12656 DUNKS FERRY RD,19154,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
16,ST CHRISTOPHER SCHOOL,13301 PROCTOR RD,19116,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
17,ARCHBISHOP RYAN HIGH SCHOOL,11201 ACADEMY RD,19154,HIGH SCHOOL,9-12,3,ARCHDIOCESE
18,ST MONICA SENIOR SCHOOL,2500 S 16TH ST,19145,ELEMENTARY/MIDDLE,6-8,3,ARCHDIOCESE
19,MERCY CAREER AND TECHNICAL HIGH SCHOOL,2901 W ALLEGHENY AVE,19129,HIGH SCHOOL,9-12,3,ARCHDIOCESE
20,ST MALACHY SCHOOL,1415 N 11TH ST,19122,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
21,ST MARTIN OF TOURS SCHOOL,5400 E ROOSEVELT BLV,19124,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
22,ST KATHERINE SIENA SCHOOL,9720-88 FRANKFORD AVE,19114,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
23,OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,632-44 N 43RD ST,19104,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
24,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,10800 HAWLEY ST.,19154,MIDDLE SCHOOL,6-8,1,DISTRICT
25,ST BARNABAS CATHOLIC SCHOOL,6334 BUIST AVE,19142,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
26,ST GABRIEL SCHOOL,1432 S  29TH ST,19146,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
27,ST DOMINIC SCHOOL,8500 FRANKFORD AVE,19136,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
28,ST FRANCIS DESALES SCHOOL,917 S 47TH ST,19143,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
29,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,1736 S 10TH ST,19148,HIGH SCHOOL,9-12,3,ARCHDIOCESE
30,ST HUBERTS CATHOLIC HIGH SCHOOL,7320 TORRESDALE AVE,19136,HIGH SCHOOL,9-12,3,ARCHDIOCESE
31,VISITATION SCHOOL,300-40 E LEHIGH AVE,19125,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
32,WEST CATHOLIC PREPARATORY HIGH SCHOOL,4501-17 CHESTNUT ST,19139,HIGH SCHOOL,9-12,3,ARCHDIOCESE
33,ST THOMAS AQUINAS SCHOOL,1616 S  17TH ST,19145,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
34,ST RAYMOND OF PENAFORT SCHOOL,1330 VERNON RD,19150,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
35,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,3001 LEVICK ST,19149,ELEMENTARY/MIDDLE,1-8,3,ARCHDIOCESE
36,ST PETER THE APOSTLE SCHOOL,1009 N 5TH ST,19123,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
37,ST MATTHEW SCHOOL,3000 COTTMAN AVE,19149,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
38,ST LAURENTIUS SCHOOL,1612 E BERKS ST,19125,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
39,ST FRANCES CABRINI REGIONAL CATHOLIC SCHOOL,405 N 65TH ST,19151,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
40,ST PIO REGIONAL CATHOLIC SCHOOL,1826 POLLOCK ST,19145,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
41,"SYLVAN LEARNING CENTER
",6537 ROOSEVELT BLVD,19149,TUTORING,UNGRADED,3,PRIVATE
42,DELTA SCHOOL,3515 WOODHAVEN RD,19154,ELEMENTARY/MIDDLE/HIGH,K-12,3,PRIVATE
43,NORWOOD FONTBONNE ACADEMY,8891 GERMANTOWN AVE,19118,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
44,SPRINGSIDE CHESTNUT HILL ACADEMY,500 W WILLOW GROVE AVE,19118,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
45,SPRINGSIDE CHESTNUT HILL ACADEMY,8000 CHEROKEE ST,19118,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
46,BELMONT ACADEMY CHARTER SCHOOL,907 N 41ST ST,19104,ELEMENTARY SCHOOL,PREK-K,2,CHARTER
47,PHILADELPHIA ACADEMY CHARTER SCHOOL (ANNEX),1700 TOMLINSON RD,19116,HIGH SCHOOL,9-12,2,CHARTER
48,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),1630-32 N 16TH ST,19121,ELEMENTARY SCHOOL,4-8,2,CHARTER
49,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,600 HELLERMAN ST,19111,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
50,ST PETERS SCHOOL,311-21 LOMBARD ST,19147,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
51,TIMOTHY ACADEMY,5500 TABOR AVE,19120,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
52,ST JOSEPH'S PREPARATORY SCHOOL,1733 W GIRARD AVE,19130,HIGH SCHOOL,9-12,3,PRIVATE
53,FAITH CONNECTION CHRISTIAN ACADEMY,4524 BALTIMORE AVE,19143,ELEMENTARY/MIDDLE/HIGH,K-12,3,PRIVATE
54,RED LION ELEMENTARY SCHOOL,256 GEIGER RD,19115,ELEMENTARY SCHOOL,K-5,3,PRIVATE
55,MERAKEY AUTISM CENTER- PHILADELPHIA,2900 SOUTHAMPTON RD,19154,ELEMENTARY/MIDDLE/HIGH,K-12,3,PRIVATE
56,ALPHA HOUSE NURSERY & KINDERGARTEN,9801 FRANKFORD AVE,19114,KINDERGARTEN,PREK-K,3,PRIVATE
57,ALL SAINTS EPISCOPAL SCHOOL,9571 FRANKFORD AVE,19114,KINDERGARTEN,PREK-K,3,PRIVATE
58,BRIDGE SCHOOL,1100 ADAMS AVE,19124,VO-TECH,VO-TECH,3,PRIVATE
59,ISLAMIC EDUCATION SCHOOL,4431-39 WALNUT ST,19104,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
60,KIDS WORLD CHRISTIAN EDUCATION CENTER- WEST PHILADELPHIA,100-04 S 61ST ST,19139,ELEMENTARY SCHOOL,PREK-4,3,PRIVATE
61,SHEPHERDS CHRISTIAN ACADEMY,6634-42 HAVERFORD AVE,19151,ELEMENTARY SCHOOL,PREK-5,3,PRIVATE
62,LITTLE FOOTSTEPS ISLAM INSTITUTE,5314 YOCUM ST,19143,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
63,WILLIAM PENN CHARTER SCHOOL,3000 W SCHOOL HOUSE LN,19144,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
64,BEULAH BAPTIST CHRISTIAN DAY SCHOOL,5001 SPRUCE ST,19139,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
65,FRANKFORD FRIENDS SCHOOL,1500 ORTHODOX ST,19124,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
66,PROJECT LEARN,6519-25 GERMANTOWN AVE,19119,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
67,LOTUS ACADEMY,334 E HAINES ST,19144,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
68,CALVARY TEMPLE CHRISTIAN ACADEMY,3301 S  20TH  ST,19145,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
69,CROOKED PLACES MADE STRAIGHT,2617 WASHINGTON AVE,19146,ELEMENTARY/MIDDLE/HIGH,K-12,3,PRIVATE
70,ST MARYS INTERPAROCHIAL SCHOOL,440 LOCUST ST,19106,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
71,ST MARTHA SCHOOL,11301 ACADEMY RD,19154,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
72,MATERNITY BVM SCHOOL,9322 OLD BUSTLETON AVE,19115,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
73,OUR LADY OF CALVARY SCHOOL,11026 KNIGHTS RD,19154,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
74,CHRIST THE KING SCHOOL,3201 CHESTERFIELD RD,19114,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
75,BEGINNINGS LEARNING CENTER,620 S 10TH ST,19147,PRE-SCHOOL,PREK-K,3,PRIVATE
76,JUBILEE SCHOOL,4211 CHESTER AVE,19104,ELEMENTARY SCHOOL,PREK-6,3,PRIVATE
77,MILL CREEK SCHOOL,111 N 49TH ST,19139,HIGH SCHOOL,7-12,3,PRIVATE
78,IJOBA SHULE,6026 DREXEL RD,19131,ELEMENTARY/MIDDLE,PREK-7,3,PRIVATE
79,NORTHEAST CENTRAL CHRISTIAN SCHOOL,7200-50 E ROOSEVELT BLV,19149,ELEMENTARY SCHOOL,PREK-5,3,PRIVATE
80,CRYSTAL RIVER ACADEMY,6401 LORETTO AVE,19111,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
81,HOLY INNOCENTS SCHOOL,1312 E  BRISTOL ST,19124,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
82,ST LUCY DAY SCHOOL FOR CHILDREN WITH VISUAL IMPAIRMENTS,1301 E HUNTING PARK AVE,19124,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
83,SPRING GARDEN ACADEMY - TIOGA,3501-05 N 17TH ST,19140,ELEMENTARY/MIDDLE,1-8,3,PRIVATE
84,THANKFUL LEARNING CENTER INC,3200-02 N 17TH ST,19140,PRE-SCHOOL,PRE-SCHOOL,3,PRIVATE
85,EDUCATION IS THE KEY LEARNING CENTER,1901 W GIRARD AVE,19142,ELEMENTARY/MIDDLE,PREK-7,3,PRIVATE
86,TARBIYATUL ILM ACADEMY INC.,5700 N BROAD ST,19141,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
87,KIDS WORLD CHRISTIAN EDUCATION CENTER- GERMANTOWN,629 E CHURCH LANE,19144,ELEMENTARY SCHOOL,PREK-5,3,PRIVATE
88,ST JAMES SCHOOL,3201-29 W CLEARFIELD ST,19132,MIDDLE SCHOOL,5-8,3,PRIVATE
89,PRODIGY LEARNING CENTERS,3345 W HUNTING PARK AVE,19132,ELEMENTARY SCHOOL,PREK-K,3,PRIVATE
90,MT AIRY CHRISTIAN DAY SCHOOL,6401 OGONTZ AVE,19126,PRE-SCHOOL,PRE-SCHOOL,3,PRIVATE
91,ADELAIDE EDUCATIONAL ACADEMY CENTER,6100 N 21ST ST,19138,ELEMENTARY SCHOOL,PREK-7,3,PRIVATE
92,SAINTS TABERNACLE DAY SCHOOL,5800 N MARVINE ST,19141,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
93,LOGAN HOPE SCHOOL,4934 N 13TH ST,19141,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
94,CONSTITUTION HIGH SCHOOL,18 S 7TH ST,19106,HIGH SCHOOL,9-12,1,DISTRICT
95,"CONWELL, RUSSELL MIDDLE SCHOOL",1849 E CLEARFIELD ST,19134,MIDDLE SCHOOL,5-8,1,DISTRICT
96,"COOKE, JAY ELEMENTARY SCHOOL",1300 W LOUDEN ST,19141,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
97,COOK-WISSAHICKON SCHOOL,201 E SALAIGNAC ST,19128,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
98,"CRAMP, WILLIAM SCHOOL",3449 N MASCHER ST,19140,ELEMENTARY SCHOOL,K-5,1,DISTRICT
99,CREATIVE AND PERFORMING ARTS,901 S BROAD ST,19147,HIGH SCHOOL,9-12,1,DISTRICT
100,"CROSSAN, KENNEDY C. SCHOOL",7350 BINGHAM ST,19111,ELEMENTARY SCHOOL,K-5,1,DISTRICT
101,"DAY, ANNA B. SCHOOL",6324 CRITTENDEN ST,19138,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
102,"DEBURGOS, J. ELEMENTARY",401 W LEHIGH AVE,19133,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
103,"DECATUR, STEPHEN SCHOOL",3500 ACADEMY RD,19154,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
104,"DICK, WILLIAM SCHOOL",2498 W DIAMOND ST,19121,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
105,"DISSTON, HAMILTON SCHOOL",6801 COTTAGE ST,19135,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
106,"DOBBINS, MURRELL HIGH SCHOOL",2150 W LEHIGH AVE,19132,HIGH SCHOOL,9-12,1,DISTRICT
107,"DOBSON, JAMES SCHOOL",4667 UMBRIA ST,19127,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
108,"DUCKREY, TANNER SCHOOL",1501 W DIAMOND ST,19121,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
109,"DUNBAR, PAUL L. SCHOOL",1750 N 12TH ST,19122,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
110,"EDISON, THOMAS A. HIGH SCHOOL",151 W LUZERNE ST,19140,HIGH SCHOOL,9-12,1,DISTRICT
111,"EDMONDS, FRANKLIN S. SCHOOL",8025 THOURON AVE,19150,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
112,"ELKIN, LEWIS SCHOOL",3199 D ST,19134,ELEMENTARY SCHOOL,K-4,1,DISTRICT
113,ELLWOOD SCHOOL,6701 N 13TH ST,19126,ELEMENTARY SCHOOL,K-5,1,DISTRICT
114,"EMLEN, ELEANOR C. SCHOOL",6501 CHEW AVE,19119,ELEMENTARY SCHOOL,K-5,1,DISTRICT
115,ENGINEERING & SCIENCE HIGH,1600 W NORRIS ST,19121,MIDDLE/HIGH,7-12,1,DISTRICT
116,"FARRELL, LOUIS H. SCHOOL",8300 CASTOR AVE,19152,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
117,"FELL, D. NEWLIN SCHOOL",900 W OREGON AVE,19148,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
118,"FELS, SAMUEL HIGH SCHOOL",5500 LANGDON ST,19124,HIGH SCHOOL,9-12,1,DISTRICT
119,FELTONVILLE ARTS & SCIENCES,210 E COURTLAND ST,19120,MIDDLE SCHOOL,6-8,1,DISTRICT
120,FELTONVILLE INTERMEDIATE,238 E WYOMING AVE,19120,ELEMENTARY SCHOOL,3-5,1,DISTRICT
121,"FINLETTER, THOMAS K. SCHOOL",6100 N FRONT ST,19120,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
122,FITLER ACADEMICS PLUS,140 W SEYMOUR ST,19144,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
123,"FITZPATRICK, A. L. SCHOOL",11061 KNIGHTS RD,19154,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
124,"FORREST, EDWIN SCHOOL",7300 COTTAGE ST,19136,ELEMENTARY SCHOOL,K-6,1,DISTRICT
125,FOX CHASE SCHOOL,500 RHAWN ST,19111,ELEMENTARY SCHOOL,K-5,1,DISTRICT
126,CHRISTOPHER COLUMBUS CHARTER SCHOOL (ANNEX),1242 S 13TH ST,19147,ELEMENTARY SCHOOL,5-8,2,CHARTER
127,ST FRANCIS XAVIER SCHOOL,641-51 N 24TH ST,19130,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
128,JOHN W HALLAHAN GIRLS SCHOOL,319 N 19TH ST,19103,HIGH SCHOOL,9-12,3,ARCHDIOCESE
129,ROMAN CATHOLIC HIGH SCHOOL,303 N BROAD ST,19107,HIGH SCHOOL,9-12,3,ARCHDIOCESE
130,HOLY REDEEMER SCHOOL,903-27 VINE ST,19107,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
131,LITTLE FLOWER CATHOLIC SCHOOL,1001 W LUZERNE ST,19140,HIGH SCHOOL,9-12,3,ARCHDIOCESE
132,ARCHBISHOP RYAN ACADEMY FOR THE DEAF,4251 L STREET,19124,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
133,ST VERONICA SCHOOL,3501-25 N 6TH ST,19140,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
134,ST GEORGE SCHOOL,2700 E VENANGO ST,19134,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
135,MOTHER DIVINE GRACE SCHOOL,2612 E MONMOUTH ST,19134,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
136,NAZARETH ACADEMY GRADE SCHOOL,4701 GRANT AVE,19114,ELEMENTARY/MIDDLE,1-8,3,PRIVATE
137,NAZARETH ACADEMY HIGH SCHOOL,4001 GRANT AVE,19114,HIGH SCHOOL,9-12,3,PRIVATE
138,BETHEL BAPTIST ACADEMY,2210 E SUSQUEHANNA AVE,19125,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
139,GREATER HOPE CHRISTIAN ACADEMY,7029 WOODLAND AVE,19142,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
140,EASTER SEALS OF SOUTHEASTERN PA - JOSEPH X. YAFFE CENTER,3975 CONSHOHOCKEN AVE,19131,SPECIAL CENTER,UNGRADED,3,PRIVATE
141,K W REED CHRISTIAN ACADEMY FOR BOYS,3955 CONSHOHOCKEN AVE,19131,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
142,COMMUNITY PARTNERSHIP SCHOOL,3033 W GLENWOOD AVE,19121,ELEMENTARY SCHOOL,PREK-5,3,PRIVATE
143,WHITE DOVE PERFORMING ARTS ACADEMY,2510 RIDGE AVE,19121,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
144,GESU SCHOOL,1700 W THOMPSON ST,19121,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
145,PHILADELPHIA ACADEMIC SCHOOL,1421 W GIRARD AVE,19130,HIGH SCHOOL,12,3,PRIVATE
146,SHILOH CHRISTIAN ACADEMY,1516-34 MASTER ST,19121,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
147,AL MOSHEH SHULE OF POSITIVE ED,3922 CAMBRIDGE ST,19104,ELEMENTARY/MIDDLE,K-4,3,PRIVATE
148,HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,19133,MIDDLE/HIGH,5-8,3,PRIVATE
149,SPRING GARDEN ACADEMY,1801 SPRING GARDEN ST,19130,PRE-SCHOOL,PREK-K,3,PRIVATE
150,"FRANK, ANNE SCHOOL",2000 BOWLER ST,19115,ELEMENTARY SCHOOL,K-5,1,DISTRICT
151,FRANKFORD HIGH SCHOOL,5000 OXFORD AVE,19124,HIGH SCHOOL,9-12,1,DISTRICT
152,FRANKLIN LEARNING CENTER,616 N 15TH ST,19130,HIGH SCHOOL,9-12,1,DISTRICT
153,"FRANKLIN, BENJAMIN HIGH SCHOOL",550 N BROAD ST,19130,HIGH SCHOOL,9-12,1,DISTRICT
154,"FRANKLIN, BENJAMIN SCHOOL",5735 RISING SUN AVE,19120,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
155,"FURNESS, HORACE HIGH SCHOOL",1900 S 3RD ST,19148,HIGH SCHOOL,9-12,1,DISTRICT
156,"GIDEON, EDWARD SCHOOL",2817 W GLENWOOD AVE,19121,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
157,GIRARD ACADEMIC MUSIC PROGRAM,2136 W RITNER ST,19145,MIDDLE/HIGH,5-12,1,DISTRICT
158,"GIRARD, STEPHEN SCHOOL",1800 SNYDER AVE,19145,ELEMENTARY SCHOOL,K-4,1,DISTRICT
159,"GIRLS, PHILA HIGH SCHOOL FOR",1400 W OLNEY AVE,19141,HIGH SCHOOL,9-12,1,DISTRICT
160,"GOMPERS, SAMUEL SCHOOL",5701 WYNNEFIELD AVE,19131,ELEMENTARY/MIDDLE,K-8,1,DISTRICT
161,FRIENDS SELECT SCHOOL,3 BENJ FRANKLIN PKY,19103,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
162,GREENE TOWNE SCHOOL INC,2121 ARCH ST,19103,KINDERGARTEN,PREK-K,3,PRIVATE
163,HMS SCHOOL FOR CHILDREN W/CEREBRAL PALSY,4400 BALTIMORE AVE,19104,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
164,PHILADELPHIA SCHOOL,2501-29 LOMBARD ST,19146,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
165,FREIRE CHARTER SCHOOL,1026 MARKET ST,19107,MIDDLE SCHOOL,5-8,2,CHARTER
166,PHILADELPHIA PERFORMING ARTS CHARTER SCHOOL,1600 VINE ST,19102,MIDDLE/HIGH,5-12,2,CHARTER
167,EVELYN GRAVES CHRISTIAN ACADEMY,5501 CHESTER AVE,19143,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
168,CORNERSTONE CHRISTIAN ACADEMY,1939 S 58TH ST,19143,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
169,EAGLES NEST CHRISTIAN SCHOOL,501 W KING ST,19144,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
170,FAITH TABERNACLE SCHOOL,3611 N RANDOLPH ST,19140,ELEMENTARY/MIDDLE/HIGH,1-12,3,PRIVATE
171,CAMELOT THERAPEUTIC DAY SCHOOL OF PHILADELPHIA,5612 GREENE ST,19144,UNGRADED,9-12,1,DISTRICT
172,WOODBINE ACADEMY INC,5337 WYNNEFIELD AVE,19131,ELEMENTARY SCHOOL,PREK-5,3,PRIVATE
173,JAMESON CHRISTIAN ACADEMY,5301 WYNNEFIELD AVE,19131,ELEMENTARY/MIDDLE/HIGH,K-12,3,PRIVATE
174,AL-AQSA ISLAMIC SCHOOL,1501-11 GERMANTOWN AVE,19122,ELEMENTARY/MIDDLE/HIGH,K-12,3,PRIVATE
175,BLAIR CHRISTIAN ACADEMY & PRESCHOOL,212-20 W UPSAL ST,19119,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
176,CALVARY CHRISTIAN ACADEMY,13500 PHILMONT AVE,19116,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
177,CELESTIAL CHRISTIAN ACADEMY,2534 W THOMPSON ST,19121,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
178,HAROLD O DAVIS CHRISTIAN SCHOOL,1001 W WINGOHOCKING ST,19140,ELEMENTARY/MIDDLE,PREK-5,3,PRIVATE
179,INTERNATIONAL CHRISTIAN HIGH SCHOOL,5500 TABOR AVE,19120,HIGH SCHOOL,9-12,3,PRIVATE
180,POLITZ HEBREW ACADEMY,9229 OLD BUSTLETON AVE,19115,ELEMENTARY/MIDDLE,K-8,3,PRIVATE
181,LASALLE ACADEMY,1432-36 N 2ND ST,19122,ELEMENTARY/MIDDLE,3-8,3,PRIVATE
182,QUBA INSTITUTE OF ARABIC & ISLAMIC STUDIES,4637 LANCASTER AVE,19131,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
183,SHAARE SHAMAYIM-BETH JUDAH KINDERGARTEN,9768 VERREE RD,19115,PRE-SCHOOL,PREK,3,PRIVATE
184,TALMUDICAL YESHIVA OF PHILADELPHIA,6055-63 DREXEL RD,19131,HIGH SCHOOL,9-12,3,PRIVATE
185,CITY KIDS,2311 S 13TH ST,19148,KINDERGARTEN,PREK-K,3,PRIVATE
186,NEW LIFE ALTERNATIVES CHRISTIAN ACADEMY,1993-95 N 63RD ST,19151,ELEMENTARY SCHOOL,K-4,3,PRIVATE
187,FIRST CENTURY GOSPEL SCHOOL,6807 RISING SUN AVE,19111,ELEMENTARY/MIDDLE/HIGH,1-10,3,PRIVATE
188,HOPE CHURCH SCHOOL,6707 OLD YORK RD,19126,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
189,HUNTING PARK CHRISTIAN ACADEMY,601 W CAYUGA ST,19140,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
190,THE CITY SCHOOL,910 N 6TH ST,19103,MIDDLE/HIGH,6-12,3,PRIVATE
191,CREFELD SCHOOL,8836 CREFELD ST,19118,MIDDLE/HIGH,7-12,3,PRIVATE
192,HOLMESBURG CHRISTIAN ACADEMY,7923 FRANKFORD AVE,19136,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
193,GERMANTOWN FRIENDS SCHOOL,31 W COULTER ST,19144,ELEMENTARY/MIDDLE/HIGH,K-12,3,PRIVATE
194,GREENE STREET FRIENDS SCHOOL,5511 GREENE ST,19144,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
195,WALDORF SCHOOL OF PHILADELPHIA,6000 WAYNE AVE,19144,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
196,BIG BACKYARD,226 E GOWEN AVE,19119,PRE-SCHOOL,PREK,3,PRIVATE
197,JESUS IS THE WAY CHRISTIAN ACADEMY,6753 GERMANTOWN AVE,19119,UNGRADED,PREK-8,3,PRIVATE
198,COOPERATIVE NURSERY SCHOOL,6509 LINCOLN DR,19119,PRE-SCHOOL,PREK,3,PRIVATE
199,"CHESTERBROOK ACADEMY
",510 WALNUT ST,19106,PRE-SCHOOL,PRE-SCHOOL,3,PRIVATE
200,CLARKE SCHOOLS FOR HEARING AND SPEECH,625 WISTER STREET,19144,PRE-SCHOOL,PREK-K,3,PRIVATE
