OBJECTID,X,Y,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
607,-75.12107010688779,39.99843660963756,500 E Willard St,1.0,Basic,19134
608,-75.17663481649984,39.9767521832696,2500 W Master St,3.0,Enhanced,19121
609,-75.12375444020385,40.023917408719846,4831 Rising Sun Ave.,3.0,Enhanced,19120
610,-75.18844451395411,40.014245315897654,3539 Vaux St,3.0,Enhanced,19129
611,-75.23422950688534,39.954583104558495,5601 Pine St,2.0,Basic,19143
612,-75.14663217312345,40.063780565810156,1847 72nd Ave,3.0,Enhanced,19126
613,-75.15061182636529,39.91685047048985,153 W Porter St,1.0,Basic,19148
614,-75.23305831937138,39.97677403025957,5549 Lansdowne Ave,1.0,Basic,19131
615,-75.16273928946208,39.99669120482153,1915 W Somerset St,1.0,Basic,19132
616,-75.14762394353131,39.99429142377764,2756 Germantown Ave,1.0,Basic,19133
617,-75.17404604933513,39.983922146923526,1900 N Ringgold St,2.0,Basic,19121
618,-75.1740362780182,39.996321987246695,2684 N 26th St,2.0,Basic,19132
619,-75.14920338016941,39.998010419626496,1149 West Indiana Ave,2.0,Basic,19133
620,-75.16076833044897,39.99107028957217,2466 N Colorado St,2.0,Basic,19132
621,-75.18410550906052,39.99463595477221,2500 N 32nd St,1.0,Basic,19132
622,-75.21767037430922,39.956034986826225,4801 Walnut St,1.0,Basic,19139
623,-75.1362507077685,39.96900821437268,1204 N Front St,2.0,Basic,19122
624,-75.15669088752202,39.961867335209455,1137 Spring Garden St,3.0,Certification,19123
625,-75.17968732836947,39.970287764169356,2600 Brown St,1.0,Basic,19130
626,-75.17517594864748,39.97992721699244,2454 Turner St,1.0,Basic,19121
627,-75.26682066529602,39.977984489370414,7540 Haverford Ave,2.0,Basic,19151
628,-75.22819261155107,39.944091491093296,5400 Willows Ave,2.0,Basic,19143
629,-75.22447768344306,39.926274898869536,6053 Elmwood Ave,3.0,Enhanced,19142
630,-75.13594505623139,40.02624085231678,659 W Rockland St,3.0,Enhanced,19120
631,-75.21685826263587,39.95343044144153,4734-40 Spruce Street,3.0,Enhanced,19139
632,-75.24038616515973,39.924334727625755,2024 S 68th St,1.0,Basic,19142
633,-75.19051811547956,39.9370965820061,1300 S 28Th St,1.0,Basic,19146
634,-75.08989455689111,40.034233233257865,898 Anchor St,1.0,Basic,19124
635,-75.18338744310464,40.00550000914692,3300 W Allegheny Ave,3.0,Enhanced,19132
