dc_key,objectid,psa,dispatch_date_time,dispatch_date,dispatch_time,hour_,dc_dist,location_block,ucr_general,text_general_code,point_x,point_y,lat,lng,zipcode
201717024394,16555130,1,2017-06-22 16:56:00,2017-06-22,16:56:00,16,17,2400 BLOCK SOUTH ST,500.0,Burglary Residential,-75.18092741,39.94552736,39.94552736,-75.18092741,19146
201719012849,12805799,2,2017-02-14 09:41:00,2017-02-14,09:41:00,9,19,100 BLOCK N MILLICK ST,500.0,Burglary Residential,-75.24133153,39.96503173,39.96503173,-75.24133153,19139
201722034341,14986661,4,2017-05-02 16:43:00,2017-05-02,16:43:00,16,22,2300 BLOCK W THOMPSON ST,500.0,Burglary Residential,-75.17522995,39.97534279999999,39.97534279999999,-75.17522995,19121
201712046459,16765183,3,2017-06-29 07:48:00,2017-06-29,07:48:00,7,12,6500 BLOCK GUYER AVE,500.0,Burglary Residential,-75.22727334,39.91933853,39.91933853,-75.22727334,19142
201712049525,17098080,4,2017-07-10 14:18:00,2017-07-10,14:18:00,14,12,6000 BLOCK CEDARHURST ST,500.0,Burglary Residential,-75.24461163,39.94352111,39.94352111,-75.24461163,19143
201701004680,12414082,1,2017-01-30 12:43:00,2017-01-30,12:43:00,12,1,2200 BLOCK S 20TH ST,500.0,Burglary Residential,-75.17963845,39.92349277,39.92349276,-75.17963845,19145
201702022440,14772346,1,2017-04-26 05:54:00,2017-04-26,05:54:00,5,2,1200 BLOCK UNRUH AVE,500.0,Burglary Residential,-75.07879033,40.04586759,40.04586759,-75.07879033,19111
201715053592,16062111,2,2017-06-07 00:21:00,2017-06-07,00:21:00,0,15,6700 BLOCK JACKSON ST,500.0,Burglary Residential,-75.04682628,40.02708493,40.02708493,-75.04682628,19135
201726004506,12389573,1,2017-01-30 00:31:00,2017-01-30,00:31:00,0,26,2300 BLOCK N REESE ST,500.0,Burglary Residential,-75.14206422,39.98695424,39.98695424,-75.14206422,19133
201718006431,12349085,1,2017-01-27 15:51:00,2017-01-27,15:51:00,15,18,100 BLOCK S 61ST ST,500.0,Burglary Residential,-75.24310812,39.96017198,39.96017197,-75.24310812,19139
201735019030,13458484,3,2017-03-10 14:00:00,2017-03-10,14:00:00,14,35,6400 BLOCK OGONTZ AVE,500.0,Burglary Residential,-75.15005786,40.05263012,40.05263012,-75.15005786,19150
201725013996,12940227,4,2017-02-19 16:27:00,2017-02-19,16:27:00,16,25,1100 BLOCK W SOMERSET ST,500.0,Burglary Residential,-75.15038709999999,39.99499721,39.99499721,-75.15038709999999,19133
201702005282,12414438,3,2017-01-30 17:44:00,2017-01-30,17:44:00,17,2,2100 BLOCK BRIGHTON ST,500.0,Burglary Residential,-75.06186297,40.04318991,40.04318991,-75.06186297,19149
201714007606,12404125,3,2017-01-29 18:13:00,2017-01-29,18:13:00,18,14,5400 BLOCK WAYNE AVE,500.0,Burglary Residential,-75.17488087,40.02948426,40.02948426,-75.17488086,19144
201735035446,14965032,2,2017-05-01 16:44:00,2017-05-01,16:44:00,16,35,200 BLOCK W ROOSEVELT BLVD,500.0,Burglary Residential,-75.12921654,40.02503624,40.02503624,-75.12921654,19120
201717001579,11999383,2,2017-01-14 21:12:00,2017-01-14,21:12:00,21,17,1700 BLOCK S NATRONA ST,500.0,Burglary Residential,-75.19857781,39.93298033,39.93298033,-75.19857781,19146
201715001674,11799938,3,2017-01-06 17:10:00,2017-01-06,17:10:00,17,15,4300 BLOCK VISTA ST 1,500.0,Burglary Residential,-75.03425958,40.03517072,40.03517072,-75.03425958,19136
201722009574,12551310,4,2017-02-05 01:33:00,2017-02-05,01:33:00,1,22,2500 BLOCK W OXFORD ST 6,500.0,Burglary Residential,-75.17644076,39.97967875,39.97967875,-75.17644076,19121
201718030801,15016940,1,2017-05-04 04:36:00,2017-05-04,04:36:00,4,18,200 BLOCK S CECIL ST,500.0,Burglary Residential,-75.23682304,39.95808631,39.95808631,-75.23682303,19139
201702016256,13941612,3,2017-03-27 11:59:00,2017-03-27,11:59:00,11,2,7300 BLOCK FRONTENAC ST,500.0,Burglary Residential,-75.06906898,40.05412132,40.05412132,-75.06906898,19111
