ZIP Code,Year,Month,SalesCount,AvgSalesPrice
19107,2020,4,1,0
19107,2020,3,1,0
19107,2020,2,1,0
19107,2020,1,11,376000
19107,2019,12,10,290000
19107,2019,11,20,430000
19107,2019,10,4,236000
19107,2019,9,8,339000
19107,2019,8,16,357000
19107,2019,7,6,301000
19107,2019,6,12,569000
19107,2019,5,9,375000
19107,2019,4,5,235000
19107,2019,3,5,220000
19107,2019,2,8,213000
19107,2019,1,3,160000
19107,2018,12,10,293000
19107,2018,11,14,385000
19107,2018,10,12,287000
19107,2018,9,10,201000
19107,2018,8,10,220000
19107,2018,7,12,377000
19107,2018,6,12,506000
19107,2018,5,15,312000
19107,2018,4,4,378000
19107,2018,3,8,200000
19107,2018,2,3,228000
19107,2018,1,12,337000
19107,2017,12,14,687000
19107,2017,11,8,285000
19107,2017,10,5,452000
19107,2017,9,24,465000
19107,2017,8,15,629000
19107,2017,7,8,267000
19107,2017,6,34,513000
19107,2017,5,8,316000
19107,2017,4,4,238000
