ZIP Code,Year,Month,SalesCount,AvgSalesPrice
19151,2020,4,6,0
19151,2020,3,9,0
19151,2020,2,14,136000
19151,2020,1,37,143000
19151,2019,12,38,163000
19151,2019,11,64,147000
19151,2019,10,30,188000
19151,2019,9,21,158000
19151,2019,8,19,150000
19151,2019,7,26,152000
19151,2019,6,24,172000
19151,2019,5,20,165000
19151,2019,4,17,135000
19151,2019,3,22,112000
19151,2019,2,24,124000
19151,2019,1,32,144000
19151,2018,12,22,121000
19151,2018,11,35,149000
19151,2018,10,32,144000
19151,2018,9,14,175000
19151,2018,8,21,155000
19151,2018,7,32,138000
19151,2018,6,19,131000
19151,2018,5,8,139000
19151,2018,4,23,134000
19151,2018,3,41,138000
19151,2018,2,25,118000
19151,2018,1,24,151000
19151,2017,12,28,131000
19151,2017,11,23,139000
19151,2017,10,16,169000
19151,2017,9,38,162000
19151,2017,8,28,151000
19151,2017,7,7,110000
19151,2017,6,77,128000
19151,2017,5,23,138000
19151,2017,4,13,154000
